dutch_word,english1,sentence1,english2,sentence2
"aan (vz)","on","Het schilderij hangt aan de muur.","to","Hij gaf het cadeau aan haar."
"aan (bw)","on","Het licht staat nog aan.","up","Hij trok zijn jas weer aan."
"aanbieden","to offer","Ze wilden hun hulp aanbieden.","to present","Ze zullen excuses aanbieden aan de klanten."
"aandacht","attention","De leraar vroeg om aandacht.","focus","Ze verloor haar aandacht tijdens de les."
"aandeel (het)","share","Hij kocht een aandeel in het bedrijf.","part","Zij had een belangrijk aandeel in het succes."
"aandoen","to put on","Hij besloot zijn jas aan te doen.","to affect","Het verdriet kan iemand diep aandoen."
"aangezien","since","Aangezien het regent, blijven we binnen.","because","Aangezien hij ziek is, kan hij niet werken."
"aankijken","to look at","Ze bleef hem aankijken zonder iets te zeggen.","to face","We moeten deze situatie onder ogen aankijken."
"aankleden","to dress","Ze helpt haar zoon aankleden.","to get dressed","Hij moet zich snel aankleden voor het diner."
"aankomen","to arrive","Ze zullen om acht uur aankomen.","to gain weight","Hij is veel aangekomen de laatste tijd."
"aankomst","arrival","De aankomst van het vliegtuig werd vertraagd.","coming","We wachten op de aankomst van de gasten."
"aankondigen","to announce","Ze willen het nieuws morgen aankondigen.","to declare","De regering kondigde nieuwe maatregelen aan."
"aankondiging","announcement","De aankondiging verraste iedereen.","notice","Ze plaatsten een aankondiging in de krant."
"aanleg","construction","De aanleg van de weg duurde jaren.","aptitude","Hij heeft aanleg voor muziek."
"aanleiding","occasion","Dit was de aanleiding voor het feest.","reason","De aanleiding van de ruzie was onduidelijk."
"aannemen","to accept","Ze besloot het aanbod aan te nemen.","to hire","Het bedrijf zal drie nieuwe mensen aannemen."
"aanpassen","to adjust","Hij moest zijn plannen aanpassen.","to adapt","Ze konden zich snel aanpassen aan de situatie."
"aansluiten","to connect","Sluit de kabel aan op het apparaat.","to join","Hij wilde zich bij de groep aansluiten."
"aantal (het)","number","Het aantal studenten is gestegen.","quantity","Een klein aantal mensen kwam opdagen."
"aantrekken","to attract","De stad wil meer toeristen aantrekken.","to put on","Hij moest een warme jas aantrekken."
"aanvaarden","to accept","Ze aanvaardde het geschenk met plezier.","to embrace","Hij moest zijn lot aanvaarden."
"aanvragen","to request","Hij wil een nieuw paspoort aanvragen.","to apply for","Ze ging een vergunning aanvragen."
"aanwezig","present","Er waren vijftig mensen aanwezig.","attending","Hij was aanwezig bij de ceremonie."
"aanwijzen","to point out","Ze wees de weg aan.","to appoint","Hij werd aangewezen als leider."
